tipo;menu;frase;tiempos;plato;descripcion;imagen
Menú;La Esencia;La armonía perfecta entre la sutileza marina, la nobleza del campo y el equilibrio de la alta repostería.;Primer Pase;Pimientos asados;Con reducción de vermut, huevo a baja temperatura y patatas fritas;Esencia1.png
Menú;La Esencia;La armonía perfecta entre la sutileza marina, la nobleza del campo y el equilibrio de la alta repostería.;Segundo Pase;Timbal de bacalao dorado;Presentado en capas cilíndricas, que combina bacalao desmigado con un toque de aceite de oliva;Esencia2.png
Menú;La Esencia;La armonía perfecta entre la sutileza marina, la nobleza del campo y el equilibrio de la alta repostería.;Tercer Pase;Presa ibérica marinada;Carne de alta calidad, tierna y jugosa, realzada con un adobo previo de hierbas, ajo y especias;Esencia3.png
Menú;La Esencia;La armonía perfecta entre la sutileza marina, la nobleza del campo y el equilibrio de la alta repostería.;Postre;Tarta de queso;Cremoso y suave elaborado a base de queso crema, huevos y azúcar, horneado o cuajado en frío sobre una crujiente base de galleta.;Esencia4.png
Menú;Opera Prima;La esencia de la Italia de siempre, servida en cada plato.;Primer Pase;Burrata (con tomates Cherry confitados y pesto verde);Burrata cremosa acompañada de tomates cherry confitados, pesto verde casero y un toque de aceite de oliva virgen extra.;prima1.png
Menú;Opera Prima;La esencia de la Italia de siempre, servida en cada plato.;Segundo Pase;Spaghetti Carbonara;Pasta al dente con una cremosa salsa de yema, queso curado y panceta crujiente. Intensa, tradicional y adictiva.;prima2.png
Menú;Opera Prima;La esencia de la Italia de siempre, servida en cada plato.;Tercer Pase;Pizza Prosciutto e Funghi;Base fina y crujiente con tomate, mozzarella fundida, jamón cocido y champiñones. Un clásico irresistible.;prima3.png
Menú;Opera Prima;La esencia de la Italia de siempre, servida en cada plato.;Postre;Tiramisú casero;Capas de bizcocho empapado en café, crema de mascarpone y cacao. Suave, dulce y con ese toque amargo perfecto.;prima4.png
Menú;La tradición;Herencia y Pasión: El sabor de nuestro hogar llevado a la mesa en cuatro actos;Primer Pase;Croquetas de la Chelo;Cremosas por dentro y crujientes por fuera Receta de siempre, sabor inolvidable;recetas1.png
Menú;La tradición;Herencia y Pasión: El sabor de nuestro hogar llevado a la mesa en cuatro actos;Segundo Pase;Ensaladilla de gamba roja (con espuma de kimchee);Nuestra versión más fresca y atrevida de un clásico. Gamba roja, ensaladilla cremosa y una espuma de kimchee que aporta un toque especiado y ligero.;recetas2.png
Menú;La tradición;Herencia y Pasión: El sabor de nuestro hogar llevado a la mesa en cuatro actos;Tercer Pase;Risotto de mix de setas;Arroz cremoso con una selección de setas salteadas y una generosa ralladura de parmesano que intensifica cada bocado.;recetas3.png
Menú;La tradición;Herencia y Pasión: El sabor de nuestro hogar llevado a la mesa en cuatro actos;Postre;Couland de chocolate (con helado);Bizcocho tibio con corazón fundente de chocolate, acompañado de helado de vainilla para un contraste perfecto;recetas4.png
Menú;Raíces de autor;Un recorrido por sabores texturas y emociones.;Primer Pase;Pani puri de salmorejo con jamón ibérico;Crujiente esférico que estalla en boca relleno de salmorejo fresco y coronado con jamón ibérico juego de texturas y sabor.;raices1.png
Menú;Raíces de autor;Un recorrido por sabores texturas y emociones.;Segundo Pase;Langostinos en tempura con sweet chili;Langostinos crujientes en tempura ligera acompañados de una salsa sweet chili ligeramente picante y dulce.;raices2.png
Menú;Raíces de autor;Un recorrido por sabores texturas y emociones.;Tercer Pase;Presa ibérica marinada con guarnición;Presa ibérica marinada y a la brasa jugosa y llena de matices servida con guarnición de temporada.;raices3.png
Menú;Raíces de autor;Un recorrido por sabores texturas y emociones.;Postre;Torrija de pan brioche con helado de vainilla;Torrija caramelizada por fuera tierna y melosa por dentro acompañada de helado de vainilla.;raices4.png
Menú;Momentos;Un recorrido por contrastes tradición y técnica contemporánea.;Primer Pase;Ajoblanco uvas de temporada y anchoas del Cantábrico;Sopa fría de almendras emulsionadas acompañada de uvas frescas y el punto salino de la anchoa creando un equilibrio entre dulzor acidez y umami.;momentos1.png
Menú;Momentos;Un recorrido por contrastes tradición y técnica contemporánea.;Segundo Pase;Nuestra Carbonara;Interpretación de la receta clásica italiana con pasta al dente envuelta en una cremosa emulsión de yema queso curado y panceta crujiente sin nata respetando la tradición.;momentos2.png
Menú;Momentos;Un recorrido por contrastes tradición y técnica contemporánea.;Tercer Pase;Tataki de atún marinado con guacamole y teriyaki;Lomo de atún ligeramente sellado marinado y servido con guacamole suave y un toque de salsa teriyaki combinando frescura y matices asiáticos.;momentos3.png
Menú;Momentos;Un recorrido por contrastes tradición y técnica contemporánea.;Postre;Tarta de queso;Cremosa tarta de queso al horno con interior fundente y ligero toque tostado en superficie.;momentos4.png
Menú;La experiencia;Sabores que se complementan para una experiencia única e inolvidable.;1º Pase;Tosta de sardina ahumada con guacamole tomate cherry y brotes;Tosta crujiente con guacamole cremoso sardina ahumada tomates cherry frescos y brotes tiernos.;experiencia1.png
Menú;La experiencia;Sabores que se complementan para una experiencia única e inolvidable.;2º Pase;Churros de gambas mayo lima mayo remolacha;Crujientes churros de gambas acompañados de mayonesa de lima y mayonesa de remolacha con láminas de rábano alfalfa y brotes frescos.;experiencia2.png
Menú;La experiencia;Sabores que se complementan para una experiencia única e inolvidable.;3º Pase;Mini croissant steak tartar con mayonesa de tom yum;Mini croissant crujiente relleno de steak tartar de ternera aliñado con mayonesa de tom yum un toque exótico e irresistible.;experiencia3.png
Menú;La experiencia;Sabores que se complementan para una experiencia única e inolvidable.;Postre;Couland de chocolate casero;Coulant caliente de chocolate intenso con corazón líquido. El broche perfecto para una experiencia gastronómica inolvidable.;experiencia4.png
Menú;BBQ Experience;Cocina real brasa encendida y momentos inolvidables.;Bienvenida;Nachos Artesanos;Con guacamole casero y pico de gallo fresco.;bbq1.png
Menú;BBQ Experience;Cocina real brasa encendida y momentos inolvidables.;Entrante 1;Croqueta Cremosa;De jamón serrano y pollo.;bbq11.png
Menú;BBQ Experience;Cocina real brasa encendida y momentos inolvidables.;Entrante 2;Mini Pizza Margarita;Con pesto verde mozzarella fior di latte y albahaca.;bbq2.png
Menú;BBQ Experience;Cocina real brasa encendida y momentos inolvidables.;Entrante 3;Vasito de Salmorejo;De sandía (temporada de verano).;bbq3.png
